taskId,runIdx,latencyMs,jsonValid,csr,dupRate,qCount,mcqCount,tfCount,saCount
t01_unit1_present_simple,1,61443,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,2,68605,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,3,64675,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,4,62880,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,5,65499,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,6,63228,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,7,62019,1,0,0.0000,10,0,0,0
t01_unit1_present_simple,8,66972,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,1,79786,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,2,70139,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,3,71422,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,4,71043,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,5,80809,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,6,79408,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,7,80165,1,0,0.0000,10,0,0,0
t02_unit2_past_simple,8,74595,1,0,0.0000,10,0,0,0
t03_modals_conditionals,1,63297,1,0,0.0000,10,0,0,0
t03_modals_conditionals,2,62547,1,0,0.0000,10,0,0,0
t03_modals_conditionals,3,64896,1,0,0.0000,10,0,0,0
t03_modals_conditionals,4,61186,1,0,0.0000,10,0,0,0
t03_modals_conditionals,5,59036,1,0,0.0000,10,0,0,0
t03_modals_conditionals,6,61433,1,0,0.0000,10,0,0,0
t03_modals_conditionals,7,63963,1,0,0.0000,10,0,0,0
t03_modals_conditionals,8,63994,1,0,0.0000,10,0,0,0
